il_db,skin_fraction,split,de_emphasis_db,ctle,ctle_boost_db,burden_db,h0_mv,dfe_tap,precursor_frac,postcursor_tail_frac,residual_frac,eye_open,eye_h_mv,required_dc_gain,h-2,h-1,h0,h1,h2,h3,h4
3.0,0.8,skin-dominated,0.0,none,nan,3.0,342.540604587676,0.054537898375276755,9.66779945842599e-09,0.11320686335851814,0.1132068730263176,True,607.5253077155219,0.1646021963694486,5.612161650787424e-09,4.055637807638566e-09,1.0,0.054537898375276755,0.022624078677543888,0.013074723745286652,0.008758152559427499
3.0,0.8,skin-dominated,0.0,matched,3.0,3.0,417.7146496605285,-0.06376261519914483,1.0582841318735527e-06,0.08898880197926526,0.08898986026339713,True,761.0845627145284,0.13139144439263648,-9.444918515469568e-08,-9.63834946718857e-07,1.0,-0.06376261519914483,-0.028891190125489012,-0.004924680825246149,0.0020448500602553276
3.0,0.8,skin-dominated,-3.5,none,nan,-0.5000000000000004,285.73776686169083,-0.14425569515954087,7.126996576561535e-09,0.07986028088585197,0.07986028801284854,True,525.8373330079361,0.19017287994363605,4.1870205514259416e-09,2.939976025135594e-09,1.0,-0.14425569515954087,0.011782293891528213,0.008577201854109765,0.006158981248113183
3.0,0.8,skin-dominated,-6.0,none,nan,-3.000000000000001,257.1087909565129,-0.2777409511652519,5.420906759491256e-09,0.05747323149069588,0.05747323691160264,True,484.663833003627,0.20632857909010027,3.2300715592624656e-09,2.1908352002287903e-09,1.0,-0.2777409511652519,0.004502288575528633,0.005557220926354748,0.004413698406124967
4.5,0.8,skin-dominated,0.0,none,nan,4.5,312.82517176603506,0.09133976547917863,3.173495939608355e-08,0.18732968370334602,0.18732971543830543,True,508.4474427143294,0.19667716188354376,1.7778274085579018e-08,1.3956685310504531e-08,1.0,0.09133976547917863,0.03771525451528652,0.021730525499426896,0.014527489227711054
4.5,0.8,skin-dominated,0.0,matched,4.5,4.5,432.3063769005152,-0.0793515498792826,1.7003180420702433e-07,0.13499830934013385,0.13499847937193804,True,747.8913467923076,0.13370926195215146,1.682539065292136e-08,1.5320641355410298e-07,1.0,-0.0793515498792826,-0.048364761023720684,-0.014946490185452938,-0.0018737602411360603
4.5,0.8,skin-dominated,-3.5,none,nan,0.9999999999999996,260.94998556510524,-0.1074538282374656,2.390668596925096e-08,0.1319319871845061,0.13193201109119207,True,453.04465835056675,0.22072879164733433,1.3484207611904358e-08,1.0422478357346603e-08,1.0,-0.1074538282374656,0.019557494367938563,0.014232974567128636,0.010207600005128315
4.5,0.8,skin-dominated,-3.5,matched,0.9999999999999996,0.9999999999999996,273.8692600462086,-0.1471985954365715,0.000316917831280833,0.12303200196932687,0.12334891980060769,True,480.175565305834,0.20825716097466948,1.8406570263969115e-08,0.00031689942471056906,1.0,-0.1471985954365715,0.017020505856136098,0.013225918080742088,0.009503237841093793
4.5,0.8,skin-dominated,-6.0,none,nan,-1.5000000000000009,234.80457601730637,-0.2409390848044233,1.8650183130129652e-08,0.0947337274479465,0.09473374609812964,True,425.12131786040777,0.23522697121680422,1.0600842231508803e-08,8.049340898620848e-09,1.0,-0.2409390848044233,0.007364982392905582,0.009198544175733866,0.00730689525686957
6.0,0.8,skin-dominated,0.0,none,nan,6.0,283.7026498317841,0.13321285101297592,0.0008896814883672661,0.27582437596134296,0.2767140574497102,True,410.3962769751935,0.2436669278216784,4.2413202644937155e-08,0.0008896390751646212,1.0,0.13321285101297592,0.05547184674376103,0.032012904801812486,0.02141021681652005
